,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,For the 'Underlying Field Id' column:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,- One asterisk (*) indicates that a field transformation formula is used. The details can be found in the 'Field Transformation' tab. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,- Two asterisks (**) indicates that a score is based on a separately calculated field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Communications,,,,,Consumer Discretionary,,,,,,,,,,,,,,,,Consumer Staples,,,,,,,,,,,Financials,,,,,,,,,,,Healthcare,,,,,,,Industrial Products,,,,,,,Industrial Services,,,,,,,,,,Materials,,,,,,,,,,,,,Oil & Gas,,,,,,Real Estate,,,,,,,Renewable Energy,,,,,Technology,,,,Utilities,,,
,,,,,,,,,Telecommunications & Media,,,,,Apparel & Textile,Automotive,,Consumer Discretionary Retail & Wholesale,,Consumer Services,E-Commerce,Home & Office Products,,Homebuilders,Leisure Facilities & Services,,,,,,Agriculture,,,Food & Beverages,,,Household Products,Retail & Wholesale,,Tobacco & Cannabis,,Banking,,Financial Services,,,,,,,Insurance,,Biotechnology & Pharmaceuticals,Healthcare Facilities & Services,,,,Medical Equipment & Devices,Pharmacies,Aerospace & Defense,,Diversified Industrials,Electrical Equipment,Factory Machinery & Equipment,Industrial Intermediate Prod,Machinery and Transportation Equipment,Engineering & Construction,Industrial & Commercial Support Services,,Industrial & Consumer Rental,Transportation & Logistics,,,,,Waste Management,Chemicals,,,Construction Materials,,Containers & Packaging,,,"Forestry, Paper and Wood Products",Metals & Mining,,,Steel,Oil & Gas Producers,,,,Oil & Gas Services & Equipment,,Real Estate Owners & Developers + REITs,,,,,,,Biofuels,Renewable Energy Equipment,,,Renewable Energy Project Developers,Semiconductors,Software & Tech Services,Technology Hardware and EMS/ODM,,Electric Utilities,,Gas Utilities,Water Utilities
,Pillar,Issue,Sub-Issue,Score Field ID,Field Name,Field Type,Underlying Field ID,Score Count,Advertising and Media Content,Data Centers,"Internet Media, Platforms and Services",Satellite Operators,"Telecommunications, Cable & Satellite Services",Apparel Manufacturers & Retailers,Auto Parts,Automobiles,Car Dealers,Consumer Discretionary Retail & Wholesale,Consumer Services,E-Commerce,"Home, Office and Recreational Products",Household Appliances,Homebuilders,Casinos,Cruise Lines,Gaming and Online Gambling,Hotels,Recreational Facilities,Restaurants,Agricultural Producers & Wholesalers,Aquaculture and Fishing,Meat & Eggs,Alcoholic Beverages,Non-Alcoholic Beverages,Packaged Food,Home Products & Personal Care Products,Consumer Staples Retail,Food & Beverage Wholesalers,Cannabis,Tobacco,Commercial Banks,Diversified Banks,Asset Management,Commercial Finance,Consumer Finance,Exchanges,Institutional Brokerage,Mortgage Finance,Professional and Financial Services,Insurance,Reinsurance,Biotechnology & Pharmaceuticals,Health Care Services,Healthcare Facilities,Managed Care,Supply Chain Services,Medical Equipment & Devices,Pharmacies,Aircraft & Parts,Defense,Diversified Industrials,Electrical Equipment,Factory Machinery & Equipment,Industrial Intermediate Prod,Transportation Equipment & Mobile Machinery,Engineering & Construction,"Commercial and Industrial Wholesale, Distribution and Trading",Commercial Support Services,Equipment and Vehicle Rental,"Air Freight, Courier, Logistics and Trucking",Airlines,Marine Shipping,Rail Freight and Transit Services,Transport Operations & Services,Waste Management,Agricultural Chemicals,Basic & Diversified Chemicals,Specialty Chemicals,Building Materials,Cement,Metal Containers & Packaging,Paper Containers & Packaging,Plastic Containers & Packaging,Forestry & Timber REIT,Coal,Iron and Base Metals,Precious Metals and Mineral & Precious Stone Mining,Steel Producers,Exploration & Production,Integrated Oils,Midstream,Refining & Marketing,Drilling & Drilling Support,Oilfield Services & Equipment,Health Care Owners & Developers + REITs,Hotel Owners & Developers +REITs,"Industrial, Specialty and Other REIT",Multi Asset Owners & Developers + REITs,Office Owners & Developers + REITs,Residential Owners & Developers + REITs,Retail Owners & Developers + REITs,Biofuels,"Fuel Cells, Storage, and Other Renewable Energy Equipment",Solar Energy Equipment,Wind Energy Equipment,Renewable Energy Project Developers,Semiconductors,Software and Tech Services,EMS/ODM,"Technology Hardware, Equipment and Components",Electric Transmission & Dist,Integrated Electric Utilities and Power Generation,Gas Utilities,Water Utilities
,,,,SR001,ESG Score,Headline Score,,106,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,Environmental,,,SR002,Environmental Pillar Score,Pillar Score,,106,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,Environmental,,,SR267,Environmental Pillar Disclosure,Pillar Disclosure,,106,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,Environmental,,,SR468,Environmental Pillar Percentile,Pillar Percentile,,106,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
